8.000	2.100	6.100	0.100	4.100	0.000	
8.100	2.200	6.200	0.200	4.200	0.100	
8.200	2.300	6.300	0.300	4.300	0.200	
8.300	2.400	6.400	0.400	4.400	0.300	
8.400	2.500	6.500	0.500	4.500	0.400	
8.500	2.600	6.600	0.600	4.600	0.500	
8.600	2.700	6.700	0.700	4.700	0.600	
8.700	2.800	6.800	0.800	4.800	0.700	
8.800	2.900	6.900	0.900	4.900	0.800	
8.900	3.000	7.000	1.000	5.000	0.900	
9.000	3.100	7.100	1.100	5.100	1.000	
9.100	3.200	7.200	1.200	5.200	1.100	
9.200	3.300	7.300	1.300	5.300	1.200	
9.300	3.400	7.400	1.400	5.400	1.300	
9.400	3.500	7.500	1.500	5.500	1.400	
9.500	3.600	7.600	1.600	5.600	1.500	
9.600	3.700	7.700	1.700	5.700	1.600	
9.700	3.800	7.800	1.800	5.800	1.700	
9.800	3.900	7.900	1.900	5.900	1.800	
9.900	4.000	8.000	2.000	6.000	1.900	
0.000	4.100	8.100	2.100	6.100	0.100	
0.100	4.200	8.200	2.200	6.200	0.200	
0.200	4.300	8.300	2.300	6.300	0.300	
0.300	4.400	8.400	2.400	6.400	0.400	
0.400	4.500	8.500	2.500	6.500	0.500	
0.500	4.600	8.600	2.600	6.600	0.600	
0.600	4.700	8.700	2.700	6.700	0.700	
0.700	4.800	8.800	2.800	6.800	0.800	
0.800	4.900	8.900	2.900	6.900	0.900	
0.900	5.000	9.000	3.000	7.000	1.000	
1.000	5.100	9.100	3.100	7.100	1.100	
1.100	5.200	9.200	3.200	7.200	1.200	
1.200	5.300	9.300	3.300	7.300	1.300	
1.300	5.400	9.400	3.400	7.400	1.400	
1.400	5.500	9.500	3.500	7.500	1.500	
1.500	5.600	9.600	3.600	7.600	1.600	
1.600	5.700	9.700	3.700	7.700	1.700	
1.700	5.800	9.800	3.800	7.800	1.800	
1.800	5.900	9.900	3.900	7.900	1.900	
1.900	6.000	0.000	4.000	8.000	2.000	
0.100	6.100	0.100	4.100	8.100	2.100	
0.200	6.200	0.200	4.200	8.200	2.200	
0.300	6.300	0.300	4.300	8.300	2.300	
0.400	6.400	0.400	4.400	8.400	2.400	
0.500	6.500	0.500	4.500	8.500	2.500	
